05月24日 09:56:54 : Epoch 1/90, Iter 71/219, loss = 6098.58, mse_loss = 6098.52, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:54 : Epoch 1/90, Iter 72/219, loss = 6071.29, mse_loss = 6071.23, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:55 : Epoch 1/90, Iter 73/219, loss = 6039.99, mse_loss = 6039.92, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:55 : Epoch 1/90, Iter 74/219, loss = 6004.44, mse_loss = 6004.38, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:56 : Epoch 1/90, Iter 75/219, loss = 5981.84, mse_loss = 5981.77, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:57 : Epoch 1/90, Iter 76/219, loss = 5956.96, mse_loss = 5956.89, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:57 : Epoch 1/90, Iter 77/219, loss = 5920.87, mse_loss = 5920.81, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:58 : Epoch 1/90, Iter 78/219, loss = 5891.28, mse_loss = 5891.22, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:58 : Epoch 1/90, Iter 79/219, loss = 5865.32, mse_loss = 5865.26, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:59 : Epoch 1/90, Iter 80/219, loss = 5836.54, mse_loss = 5836.48, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:57:00 : Epoch 1/90, Iter 81/219, loss = 5809.43, mse_loss = 5809.36, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:57:00 : Epoch 1/90, Iter 82/219, loss = 5787.10, mse_loss = 5787.04, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:57:01 : Epoch 1/90, Iter 83/219, loss = 5760.37, mse_loss = 5760.31, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:57:01 : Epoch 1/90, Iter 84/219, loss = 5735.73, mse_loss = 5735.67, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:57:02 : Epoch 1/90, Iter 85/219, loss = 5715.29, mse_loss = 5715.23, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:57:03 : Epoch 1/90, Iter 86/219, loss = 5687.70, mse_loss = 5687.64, rate_loss = 0.06, rate_display = 0.14, lr = 0.00010000
05月24日 09:57:03 : Epoch 1/90, Iter 87/219, loss = 5666.02, mse_loss = 5665.95, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:57:04 : Epoch 1/90, Iter 88/219, loss = 5643.09, mse_loss = 5643.03, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:57:04 : Epoch 1/90, Iter 89/219, loss = 5619.42, mse_loss = 5619.36, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:57:05 : Epoch 1/90, Iter 90/219, loss = 5595.03, mse_loss = 5594.97, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:57:06 : Epoch 1/90, Iter 91/219, loss = 5572.45, mse_loss = 5572.39, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:57:06 : Epoch 1/90, Iter 92/219, loss = 5548.44, mse_loss = 5548.38, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:57:07 : Epoch 1/90, Iter 93/219, loss = 5525.78, mse_loss = 5525.72, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
05月24日 09:57:07 : Epoch 1/90, Iter 94/219, loss = 5501.64, mse_loss = 5501.58, rate_loss = 0.06, rate_display = 0.13, lr = 0.00010000
